time,trend,season,com3-6,com2
2021/1/5,36013.31165,5059.189141,-390.722645,-3.778143
2021/1/5,36039.63362,5234.869389,-313.297163,126.79416
2021/1/5,36066.58887,5124.565328,-209.092778,82.938577
2021/1/5,36094.09505,5256.270754,-100.88029,51.51448
2021/1/5,36122.07868,5317.909627,-16.332327,15.34402
2021/1/5,36150.46074,5761.123927,26.684838,134.730487
2021/1/5,36179.15095,6393.908668,16.970703,66.969678
2021/1/5,36208.04396,7351.459246,-49.964744,295.461528
2021/1/5,36237.02339,8592.210889,-156.990554,-77.243741
2021/1/5,36265.97154,9035.866663,-261.948482,-283.88973
2021/1/5,36294.77502,8922.911449,-322.84497,-220.841494
2021/1/5,36323.32273,8492.449274,-321.871741,107.099732
2021/1/5,36351.51869,7789.740013,-262.981776,-118.276933
2021/1/5,36379.2907,6662.029017,-177.763496,-5.556215
2021/1/5,36406.59355,5262.11577,-97.837147,47.127823
2021/1/5,36433.39688,3747.810463,-38.455327,255.247969
2021/1/5,36459.68817,2389.651629,-7.18391,170.84411
2021/1/5,36485.47456,647.133995,3.409686,-100.018246
2021/1/5,36510.78476,-1073.083001,4.507656,-119.20941
2021/1/5,36535.66623,-2982.679758,4.796503,-164.782966
2021/1/5,36560.17982,-4794.970761,4.406954,-155.61601
2021/1/5,36584.39531,-6610.113629,6.682084,-71.963758
2021/1/5,36608.38592,-7904.829661,15.755252,11.688492
2021/1/6,36632.22232,-8102.74138,30.943439,-49.424373
2021/1/6,36655.96847,-7718.687397,43.153997,46.564928
2021/1/6,36679.67446,-7981.488704,48.221769,98.592468
2021/1/6,36703.37198,-8513.177491,51.210605,149.594903
2021/1/6,36727.07817,-8971.755367,57.063929,134.613273
2021/1/6,36750.79657,-9278.537513,62.080127,-1.339192
2021/1/6,36774.518,-9578.783897,64.085503,-8.819607
2021/1/6,36798.22333,-9992.555767,75.199634,-46.867193
2021/1/6,36821.88498,-10213.3603,108.500617,-19.0253
2021/1/6,36845.46897,-10131.77196,169.602495,-107.299502
2021/1/6,36868.93376,-9594.202352,248.265087,-179.996497
2021/1/6,36892.22828,-8576.185199,328.582791,-148.625866
2021/1/6,36915.29296,-6226.034371,396.7624,-121.020974
2021/1/6,36938.06168,-4216.995326,445.158861,-117.225197
2021/1/6,36960.46456,-1705.912507,467.163169,105.284752
2021/1/6,36982.4388,336.293931,456.05296,270.214318
2021/1/6,37003.93368,2431.497701,407.950113,160.618497
2021/1/6,37024.91558,3550.53339,332.273399,99.277629
2021/1/6,37045.37001,4210.021399,248.965542,-258.356953
2021/1/6,37065.30334,4506.725681,179.842336,-287.871353
2021/1/6,37084.74236,4530.53293,140.338199,-32.613497
2021/1/6,37103.72925,4552.652412,121.06517,39.553176
2021/1/6,37122.3106,4808.159392,106.4414,148.088623
2021/1/6,37140.52576,4810.792998,80.885041,286.796213
2021/1/6,37158.39509,5028.595015,32.898343,280.111533
2021/1/6,37175.91708,5008.331332,-32.65301,144.404602
2021/1/6,37193.07513,5104.593533,-106.710993,-66.957674
2021/1/6,37209.83827,4909.910198,-180.190521,-52.557943
2021/1/6,37226.16462,5060.761786,-244.014908,-216.911463
2021/1/6,37242.0071,5138.876839,-290.771153,-205.11281
2021/1/6,37257.32221,5591.76916,-319.574967,100.483602
2021/1/6,37272.07822,6213.045645,-331.172147,373.048282
2021/1/6,37286.26589,6988.628857,-324.16783,-221.726938
2021/1/6,37299.89118,8183.27805,-288.60452,12.435307
2021/1/6,37312.96259,8690.972254,-216.203617,115.268776
2021/1/6,37325.4867,8655.550752,-113.964742,185.92729
2021/1/6,37337.47554,8244.722099,7.292933,-24.490568
2021/1/6,37348.94221,7688.165006,133.069858,136.822944
2021/1/6,37359.90328,6728.938056,234.487579,-115.328911
2021/1/6,37370.37896,5268.828464,287.069312,76.723266
2021/1/6,37380.39622,3859.632959,293.527721,105.443104
2021/1/6,37389.99097,2568.906521,265.304547,30.797974
2021/1/6,37399.20509,781.254964,217.649359,-18.109409
2021/1/6,37408.07792,-918.652805,150.782558,72.792339
2021/1/6,37416.63985,-2762.799283,64.227922,-35.068492
2021/1/6,37424.91356,-4606.10569,-28.26252,107.454649
2021/1/6,37432.91614,-6474.608216,-110.853209,5.545289
